epoch: 1 | step: 400 | train_loss: 0.404492 | train_acc: 0.813750
epoch: 1 | step: 450 | train_loss: 0.402568 | train_acc: 0.814306
epoch: 1 | step: 500 | train_loss: 0.401609 | train_acc: 0.813875
epoch: 1 | step: 550 | train_loss: 0.403448 | train_acc: 0.813636
epoch: 1 | step: 600 | train_loss: 0.403496 | train_acc: 0.813646
epoch: 1 | step: 650 | train_loss: 0.403239 | train_acc: 0.814135
epoch: 1 | step: 700 | train_loss: 0.402748 | train_acc: 0.813482
epoch: 1 | step: 750 | train_loss: 0.402708 | train_acc: 0.813500
epoch: 1 | step: 800 | train_loss: 0.403130 | train_acc: 0.813906
epoch: 1 | step: 850 | train_loss: 0.401455 | train_acc: 0.815515
epoch: 1 | step: 900 | train_loss: 0.400783 | train_acc: 0.816597
epoch: 1 | step: 950 | train_loss: 0.399108 | train_acc: 0.817434
epoch: 1 | step: 1000 | train_loss: 0.399968 | train_acc: 0.816688
epoch: 1 | step: 1050 | train_loss: 0.399756 | train_acc: 0.816964
epoch: 1 | step: 1100 | train_loss: 0.400805 | train_acc: 0.816364
epoch: 1 | step: 1150 | train_loss: 0.399574 | train_acc: 0.816630
epoch: 1 | step: 1200 | train_loss: 0.399164 | train_acc: 0.816719
epoch: 1 | step: 1250 | train_loss: 0.398814 | train_acc: 0.817100
epoch: 1 | step: 1300 | train_loss: 0.399915 | train_acc: 0.816587
epoch: 1 | step: 1350 | train_loss: 0.399294 | train_acc: 0.817083
epoch: 1 | step: 1400 | train_loss: 0.399408 | train_acc: 0.817187
epoch: 1 | step: 1450 | train_loss: 0.399329 | train_acc: 0.817069
epoch: 1 | step: 1500 | train_loss: 0.399607 | train_acc: 0.816750
epoch: 1 | step: 1550 | train_loss: 0.399294 | train_acc: 0.817016
epoch: 1 | step: 1600 | train_loss: 0.398712 | train_acc: 0.817266
epoch: 1 | step: 1650 | train_loss: 0.398104 | train_acc: 0.817765
epoch: 1 | step: 1700 | train_loss: 0.398608 | train_acc: 0.817574
epoch: 1 | step: 1750 | train_loss: 0.397869 | train_acc: 0.817893
epoch: 1 | step: 1800 | train_loss: 0.397132 | train_acc: 0.818264
epoch: 1 | step: 1850 | train_loss: 0.397566 | train_acc: 0.817703
epoch: 1 | step: 1900 | train_loss: 0.397599 | train_acc: 0.817500
epoch: 1 | step: 1950 | train_loss: 0.397766 | train_acc: 0.817244
epoch: 1 | step: 2000 | train_loss: 0.396806 | train_acc: 0.817719
epoch: 1 | step: 2050 | train_loss: 0.396612 | train_acc: 0.818018
epoch: 1 | step: 2100 | train_loss: 0.396128 | train_acc: 0.818333
epoch: 1 | step: 2150 | train_loss: 0.396171 | train_acc: 0.818285
